,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-0.0019932147,-0.007988656,0.00355572,-0.002708828,-0.0014015436,-0.015654482,0.012375704,0.00043048876,-0.0053136526,0.0067532533,0.0024726985,0.012743438,0.006234494,0.00079230894,8.8104694e-05,0.002181511,-0.0014216276,0.012420715,-0.0035138205,0.001311467,0.00043925174,0.0004326153,0.0047797724,0.0032243293,0.0005650694
1,-0.0004813114,-0.006793434,0.0023425615,-0.0025421078,-0.0020682798,-0.013182381,0.010087025,0.0018012711,-0.00060383586,0.011171289,0.0020261854,0.019950666,0.013530591,0.0006248196,0.0071548168,0.007003367,-0.001652881,0.009694014,-0.0076852962,0.003512106,0.0014963988,0.0013875262,0.009053167,0.0051127244,0.0029584663
2,-0.0003358167,-0.0064845867,0.0015950759,-0.0031638714,-0.0010499359,-0.008841834,0.008727061,0.0018923398,0.0034725678,0.014254507,0.0021406915,0.023927616,0.01606481,0.001366361,0.0132485265,0.008949173,-0.0017077692,0.008070943,-0.011144545,0.002250966,0.0022299231,0.0016622941,0.012051563,0.005732864,0.0049243504
3,0.0018227467,-0.005110729,0.00029548595,-0.0023566193,-0.002100936,-0.0048773354,0.008238249,0.0018679252,0.0052109566,0.01407945,0.002238646,0.020892814,0.019044505,0.0026381253,0.013773873,0.010881147,-0.0018679906,0.0036488024,-0.0112856245,0.004650396,0.00343131,0.00052414736,0.012678896,0.006949786,0.0044420143
4,0.0034337125,-0.0036262684,-0.00097239914,-0.0015760246,-0.0032512855,0.0011535011,0.0074439025,0.0029329641,0.0056431885,0.012466721,0.0014280507,0.015333484,0.020861512,0.0033769421,0.014617244,0.012216973,-0.00267022,-0.0019459618,-0.010919813,0.0063476046,0.004222266,-0.0002102872,0.0122154895,0.007676143,0.0038857693
5,0.0030251541,-0.0043757553,-0.0004169687,-0.0017954336,-0.0028109006,0.0068382756,0.008689053,0.0020522971,0.0045402194,0.010391253,0.0013565127,0.0054895715,0.014860605,0.004975232,0.012443258,0.009762497,-0.0017567095,-0.004396991,-0.009666705,0.0047286884,0.0040543224,-0.00088545756,0.010038952,0.006300399,0.0036033487
6,0.0031000911,-0.0051080324,0.0001293861,-0.0017643089,-0.002836672,0.010695708,0.010691163,0.0018320044,0.0014499361,0.007923405,0.002162914,-0.0039995736,0.008518122,0.0066788387,0.008846387,0.0067472216,-0.00022870896,-0.005765599,-0.007720179,0.0043001245,0.0039316667,-0.0020779863,0.007498271,0.0053537716,0.00278221
7,0.0023957386,-0.0053591044,0.0003722941,-0.002119813,-0.0018153605,0.014049796,0.010960968,0.00092389627,0.0009736185,0.0067263744,0.0021313466,-0.008780587,0.004761704,0.0072096535,0.007353075,0.004903872,0.000101967446,-0.006971163,-0.0071152886,0.0025385134,0.0035419788,-0.0023248885,0.0060677477,0.003871476,0.0022023823
8,0.0013823254,-0.0041927285,-0.00067790423,-0.002926118,0.0002558932,0.016548334,0.009421788,0.00077809417,0.0019273926,0.004870658,0.0015433605,-0.011849841,0.0024753697,0.0067259357,0.00757117,0.0039760824,-0.00035828573,-0.008880644,-0.006463441,-0.0011302702,0.003011708,-0.0013917144,0.0050780545,0.001777842,0.0018394751
9,0.0021359995,-0.0020788612,-0.001186043,-0.0018258224,4.190256e-05,0.019049594,0.0060690236,0.0012753713,0.0026092408,0.003581048,0.0005616888,-0.012707271,0.0034507182,0.005850586,0.0080317035,0.004686955,-0.00047960196,-0.011768822,-0.005733492,-0.00089578534,0.0028511563,-0.0009275503,0.004491679,0.0015820753,0.0019114171
10,0.0031474982,-3.2154203e-05,-0.002215567,-0.00083426776,-0.00051092514,0.019178402,0.0035654276,0.00208918,0.0024015466,0.001685134,-0.00024274226,-0.014286248,0.004170215,0.005194579,0.006575685,0.005086691,-0.0008174497,-0.013742322,-0.0045659835,-0.00029961215,0.0029046955,-0.000910048,0.0035607764,0.0018647978,0.0017073414
11,0.0034456453,0.0017282632,-0.0029825843,-0.00049541675,-8.8066154e-05,0.018798012,0.001264006,0.0021222676,0.0033278249,-0.0001576277,-0.0012718325,-0.014251494,0.004844698,0.004508731,0.0066553815,0.005314821,-0.001404605,-0.014510729,-0.0034072457,-0.0026117985,0.0028215633,-0.00057413254,0.003248436,0.0014830567,0.0018511527
12,0.003204165,0.003877873,-0.0036572828,-0.00036272247,2.7513142e-05,0.01865193,-0.001263274,0.0024558846,0.0041761785,-0.0024972511,-0.0022085647,-0.0155567555,0.0046613193,0.0035192377,0.005793153,0.0049786023,-0.0016368562,-0.015691848,-0.0021598428,-0.0061070425,0.0021829165,0.00025636336,0.0023224032,0.0003413348,0.0018417093
13,0.001734433,0.005520754,-0.003936094,-0.0005735441,0.0017175757,0.018341465,-0.004082031,0.0027241805,0.004553596,-0.00394037,-0.0032827118,-0.015545616,0.0027293013,0.0021829458,0.0057315086,0.003888638,-0.0026666783,-0.01479989,-0.0017079676,-0.011020316,0.0011487068,0.0017505393,0.001861366,-0.001620685,0.002657208
14,0.00079404865,0.0078073335,-0.003900876,-9.419457e-05,0.0030419177,0.017454283,-0.005736513,0.0031888948,0.0043121777,-0.0055589303,-0.0045131575,-0.016135419,0.0010357185,0.0009902439,0.0045703556,0.0027537264,-0.0034235793,-0.0143640265,-0.00057205267,-0.01445477,7.274213e-05,0.0026410145,0.0009743727,-0.0031658215,0.0029978608
15,0.00040212856,0.010608037,-0.0040092347,0.001375326,0.0028753309,0.016424254,-0.008611548,0.0041289222,0.0039487905,-0.007490218,-0.0059863566,-0.01694567,0.0012339657,-0.0005169703,0.003549873,0.002487749,-0.0042384015,-0.015044185,0.0010443077,-0.014998466,-0.0010832199,0.003546397,-0.00016672425,-0.0035261628,0.003116187
